seccion,titular,enlace_noticia
Pulso PM,Bill Gates promete US$ 1.500 millones para los nuevos proyectos climáticos de la ley de infraestructura de EE.UU.,https://www.latercera.com/pulso-pm/noticia/bill-gates-promete-us-1500-millones-para-los-nuevos-proyectos-climaticos-de-la-ley-de-infraestructura-de-eeuu/NZOCDVS5IVCMHHYQWNVKGNG27Q/
Cambio climático,Bill Gates ofrece 1.500 millones de dólares para medioambiente si EE.UU. aprueba ley para reducir gases de efecto invernadero,https://www.latercera.com/mundo/noticia/bill-gates-ofrece-1500-millones-de-dolares-para-medioambiente-si-eeuu-aprueba-ley-para-reducir-gases-de-efecto-invernadero/JATDGEDJKBBZLKAMUT6VCEQV6Q/
Early Access,Incendios forestales y récords de temperatura: la ola de calor que sofoca al hemisferio norte,https://www.latercera.com/earlyaccess/noticia/incendios-forestales-y-records-de-temperatura-la-ola-de-calor-que-sofoca-al-hemisferio-norte/IQNRHJAOHRGRNHXUYU24YVZX4E/
Turismo,Nevados de Chillán suspende temporada de invierno por poca nieve y altas temperaturas que afectan al país,https://www.latercera.com/pulso/noticia/nevados-de-chillan-suspende-temporada-de-invierno-por-poca-nieve-y-altas-temperaturas-que-afectan-al-pais/JIGN2QXRTNFYBMDIR2XCOIPAQU/
Pulso PM,"Juan Sutil por cambio climático: “El informe del IPCC es como un golpe que a uno lo hace reflexionar, y tiene que hacer reflexionar a todos los actores económicos”",https://www.latercera.com/pulso-pm/noticia/juan-sutil-por-cambio-climatico-el-informe-del-ipcc-es-como-un-golpe-que-a-uno-lo-hace-reflexionar-y-tiene-que-hacer-reflexionar-a-todos-los-actores-economicos/CU7WWC245NBULCRSIVODDLTWN4/
Medioambiente,Una sequía sin precedentes en 1.000 años; una dramática baja en las lluvias y cambios en las trayectorias de las tormentas: lo que dice el informe de cambio climático de la ONU sobre Chile,https://www.latercera.com/que-pasa/noticia/una-sequia-sin-precedentes-en-1000-anos-una-dramatica-baja-en-las-lluvias-y-cambios-en-las-trayectorias-de-las-tormentas-lo-que-dice-el-informe-de-cambio-climatico-de-la-onu-sobre-chile/6X7L7627LFERRFAEVXPHPEYVAI/
Ciencia,“El Día Después de Mañana”: Cómo la película de Hollywood se vuelve más real después del informe del cambio climático de la ONU,https://www.latercera.com/que-pasa/noticia/el-dia-despues-de-manana-como-la-pelicula-de-hollywood-se-vuelve-mas-real-despues-del-informe-del-cambio-climatico-de-la-onu/UQNPPV3T55EG5AM72SXN5JN634/
Opinión,Código rojo,https://www.latercera.com/que-pasa/noticia/codigo-rojo/FTS5LFIEQ5HPRHB3AZJURSRS3Y/
Energía,Ministerio de Energía anuncia decreto para tomar medidas preventivas ante severa sequía,https://www.latercera.com/earlyaccess/noticia/ministerio-de-energia-anuncia-decreto-para-tomar-medidas-preventivas-ante-severa-sequia/NJ4BFCZ43VE5PCESW5TE5N6ZKU/
Medioambiente,Eco ansiedad: las consecuencias en salud mental ante la ruina ambiental del planeta,https://www.latercera.com/que-pasa/noticia/eco-ansiedad-las-consecuencias-en-salud-mental-ante-la-ruina-ambiental-del-planeta/U77QHAJBBZDBPHTKEYQQ5GBQCY/
Cambio climático,ONU alerta con urgencia sobre el impacto humano “irreversible” en el clima,https://www.latercera.com/la-tercera-tv/noticia/onu-alerta-con-urgencia-sobre-el-impacto-humano-irreversible-en-el-clima/T5Z72G57GNAV7IVUZQTBDZZWXE/
Medioambiente,"Maisa Rojas, científica chilena y una de las redactoras del informe del IPCC: “La realidad nos está alcanzando los talones mucho más rápido que lo que los tiempos políticos pueden reaccionar”",https://www.latercera.com/que-pasa/noticia/maisa-rojas-cientifica-chilena-y-una-de-las-redactoras-del-informe-del-ipcc-la-realidad-nos-esta-alcanzando-los-talones-mucho-mas-rapido-que-la-de-los-tiempos-politicos/3T5RJQOHSVB2LOI236WQZZRDDY/
Pulso PM,La producción de vino francés caearía a mínimos históricos este año debido al clima,https://www.latercera.com/pulso-pm/noticia/la-produccion-de-vino-frances-caearia-a-minimos-historicos-este-ano-debido-al-clima/OJGVDJ3C2ZEY7ISAQHSH5JP7PM/
Sequía,Bancada de diputados DC pide sesión especial para abordar el impacto de la sequía en Chile,https://www.latercera.com/pulso/noticia/bancada-de-diputados-dc-pide-sesion-especial-para-abordar-el-impacto-de-la-sequia-en-chile/PTAIJ3V3NNHGHAEAJGCE3UYFB4/
Medioambiente,Alerta Temprana Preventiva ante escasez hídrica en la Región Metropolitana: ¿Qué tan cerca estamos de llegar al “Día Cero” y quedarnos sin agua?,https://www.latercera.com/que-pasa/noticia/alerta-temprana-preventiva-ante-escasez-hidrica-en-la-region-metropolitana-que-tan-cerca-estamos-de-llegar-al-dia-cero-y-quedarnos-sin-agua/5FUNOFD76NHD3PF76LNKW53JRI/
LT Sábado,"Raúl Cordero, climatólogo: “Nuestra generación es la única en la historia humana que nació con un clima y se va a morir con otro”",https://www.latercera.com/la-tercera-sabado/noticia/raul-cordero-climatologo-nuestra-generacion-es-la-unica-en-la-historia-humana-que-nacio-con-un-clima-y-se-va-a-morir-con-otro/B2Z5YL6HDVG3BIZBX7KMAC2ZNA/
Pulso PM,Ésta es la razón por la que incluso los científicos subestiman el cambio climático,https://www.latercera.com/pulso-pm/noticia/esta-es-la-razon-por-la-que-incluso-los-cientificos-subestiman-el-cambio-climatico/2Q4ER6TGFNCZJI6UFG7KO3KBRE/
Banco Central,Banco Central de Chile formará parte del Comité de Capital Natural,https://www.latercera.com/pulso/noticia/banco-central-de-chile-formara-parte-del-comite-de-capital-natural/KXI3UMPILRFMLA36EWVVU2SYAI/
Pulso PM,Centros de esquí anticipan término de la temporada por falta de nieve: en la RM ya hay fecha de cierre,https://www.latercera.com/pulso-pm/noticia/centros-de-esqui-anticipan-termino-de-la-temporada-por-falta-de-nieve-en-la-rm-ya-hay-fecha-de-cierre/RTOSORRRFNANFHH7RRA5FZNST4/
Medioambiente,"El planeta se derrite: EE.UU., Canadá, Italia, Grecia, Groenlandia y Turquía sufren las consecuencias del cambio climático en el hemisferio norte",https://www.latercera.com/que-pasa/noticia/el-planeta-se-derrite-eeuu-canada-italia-grecia-groenlandia-y-turquia-sufren-las-consecuencias-del-cambio-climatico-en-el-hemisferio-norte/KI44UNMVZ5FXBPNE5Q3PM2YA5M/
Medioambiente,El dramático fin del segundo lago más grande de Bolivia: hoy se encuentra sin agua y convertido en un desierto,https://www.latercera.com/que-pasa/noticia/el-dramatico-fin-del-segundo-lago-mas-grande-de-bolivia-hoy-se-encuentra-sin-agua-y-convertido-en-un-desierto/JWSGQVQSKRG4PFDQ45CMO4GZMA/
Cambio climático,El segundo mayor lago de Bolivia desaparece por completo,https://www.latercera.com/la-tercera-tv/noticia/el-segundo-mayor-lago-de-bolivia-desaparece-por-completo/LORZS6I44FH47JLOSJY6LPQOGA/
Medioambiente,Pez antártico logra soportar temperaturas extremas generadas por el cambio climático,https://www.latercera.com/que-pasa/noticia/pez-antartico-logra-soportar-temperaturas-extremas-generadas-por-el-cambio-climatico/MYEGMNMO7RHSBK2737D3WN4M4U/
Pulso PM,"Inversión en energías renovables llega a récord en el primer semestre, pero es insuficiente para frenar las crecientes emisiones de carbono",https://www.latercera.com/pulso-pm/noticia/inversion-en-energias-renovables-llega-a-record-en-el-primer-semestre-pero-es-insuficiente-para-frenar-las-crecientes-emisiones-de-carbono/T2OQWIZ4TFF4BNADS7RA7O3RKA/
Medioambiente,Cómo el verano de 2021 ha cambiado nuestra comprensión del clima extremo,https://www.latercera.com/que-pasa/noticia/como-el-verano-de-2021-ha-cambiado-nuestra-comprension-del-clima-extremo/GVV4BUBCMJC4RG4N5PW5PSNHSM/
Recursos hídricos,Escasez hídrica y altas temperaturas: Santiago sufre su tercer julio más seco en 72 años,https://www.latercera.com/pulso/noticia/escasez-hidrica-y-altas-temperaturas-santiago-sufre-su-tercer-julio-mes-mas-seco-en-72-anos/LD4VTLAXHNEZDCZAIW6SE7RPDQ/
Cambio climático,Groenlandia pierde 22 gigatoneladas de hielo,https://www.latercera.com/la-tercera-tv/noticia/groenlandia-pierde-22-gigatoneladas-de-hielo/TKXMUDUKU5BZRFDC5ZEIPBWRBI/
Opinión,Después de la tormenta quizás no vendrá la calma,https://www.latercera.com/que-pasa/noticia/despues-de-la-tormenta-quizas-no-vendra-la-calma/NZQNBGVBEZA5TE6SY4ETOGVSDI/
Pulso PM,La SEC de EE.UU. evalúa la posibilidad de hacer que las compañías entreguen divulgaciones sobre impactos climáticos,https://www.latercera.com/pulso-pm/noticia/la-sec-de-eeuu-evalua-la-posibilidad-de-hacer-que-las-companias-entreguen-divulgaciones-sobre-impactos-climaticos/TTBZFA63VFFZXHMZCM3JMXXL6A/
Medioambiente,Este miércoles Santiago podría registrar la mañana más fría del año y de la historia,https://www.latercera.com/que-pasa/noticia/este-miercoles-santiago-podria-registrar-la-manana-mas-fria-del-ano-y-de-la-historia/5KP5Q26V4NBDRDVUQ4SQ4VB5OA/
Pulso PM,El café se fue a las nubes pero no se traspasa a los precios en Chile...por ahora,https://www.latercera.com/pulso-pm/noticia/el-precio-del-cafe-esta-en-las-nubes-y-practicamente-se-duplica-en-un-ano-y-en-chile/HE5SFYQU7VBM7EXJ7KGOKEKTOQ/
Medioambiente,Hackathon por el medioambiente: Iniciativa busca tomar datos de los satélites y convertirlos en nuevas tecnologías verdes,https://www.latercera.com/que-pasa/noticia/hackathon-por-el-medioambiente-iniciativa-busca-tomar-datos-de-los-satelites-y-convertirlos-en-nuevas-tecnologias-verdes/HXONXJNZLNC5RJNZY35NGLHVUU/
